energy_MeV,z_bin,depth_mm,energy_deposit_MeV,sim_dEdx_MeV_per_mm,dose_Gy,beta,gamma,momentum_MeV_c,nist_dEdx_MeV_per_mm,nist_range_mm,residual_range_mm
70,0,0.05,1144.008544921875,1.144008544921875,7.165989008660192e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,57.37034173772756
70,1,0.15000000000000002,1131.375732421875,1.131375732421875,7.086857960273094e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,57.270341737727556
70,2,0.25,1121.166259765625,1.121166259765625,7.022906542109605e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,57.170341737727554
70,3,0.35000000000000003,1118.472290039062,1.118472290039062,7.006031705347322e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,57.07034173772755
70,4,0.45,1100.50341796875,1.10050341796875,6.893475955370235e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,56.97034173772755
70,5,0.55,1102.1171875,1.1021171875,6.903584494134898e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,56.87034173772756
70,6,0.65,1151.669677734375,1.151669677734375,7.213977805397728e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,56.770341737727556
70,7,0.75,1109.62548828125,1.10962548828125,6.950615961785191e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,56.670341737727554
70,8,0.8500000000000001,1128.777954101562,1.1287779541015621,7.070585659709493e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,56.57034173772755
70,9,0.9500000000000001,1097.931396484375,1.097931396484375,6.877364993814151e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,56.47034173772755
70,10,1.05,1094.217651367188,1.094217651367188,6.854102355778046e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,56.37034173772756
70,11,1.1500000000000001,1152.836791992188,1.152836791992188,7.221288526965729e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,56.270341737727556
70,12,1.25,1091.596801757812,1.0915968017578122,6.837685538283538e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,56.170341737727554
70,13,1.35,1087.805053710938,1.087805053710938,6.813934295385817e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,56.07034173772755
70,14,1.4500000000000002,1100.229614257812,1.100229614257812,6.891760868195564e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,55.97034173772755
70,15,1.55,1085.877197265625,1.085877197265625,6.801858338297288e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,55.87034173772756
70,16,1.6500000000000001,1118.392578125,1.118392578125,7.00553239552786e-11,0.3661031082476414,1.0746052280875475,369.1315299998091,0.9584486999999999,57.420341737727554,55.770341737727556
